House,Resident,Day,Minute,Activity
A,1,1,1,4
A,1,1,2,4
A,1,1,3,4
A,1,1,4,4
A,1,1,5,4
A,1,1,6,4
A,1,1,7,4
A,1,1,8,4
A,1,1,9,4
A,1,1,10,4
A,1,1,11,9
A,1,1,12,9
A,1,1,13,9
A,1,1,14,9
A,1,1,15,9
A,1,1,16,4
A,1,1,17,4
A,1,1,18,4
A,1,1,19,4
A,1,1,20,4
A,1,1,21,4
A,1,1,22,4
A,1,1,23,4
A,1,1,24,4
A,1,1,25,4
A,1,1,26,4
A,1,1,27,4
A,1,1,28,4
A,1,1,29,4
A,1,1,30,4
A,1,1,31,4
A,1,1,32,4
A,1,1,33,4
A,1,1,34,4
A,1,1,35,4
A,1,1,36,4
A,1,1,37,4
A,1,1,38,4
A,1,1,39,4
A,1,1,40,4
A,1,1,41,4
A,1,1,42,4
A,1,1,43,4
A,1,1,44,4
A,1,1,45,4
A,1,1,46,4
A,1,1,47,4
A,1,1,48,4
A,1,1,49,4
A,1,1,50,4
A,1,1,51,4
A,1,1,52,4
A,1,1,53,4
A,1,1,54,4
A,1,1,55,4
A,1,1,56,4
A,1,1,57,4
A,1,1,58,10
A,1,1,59,10
A,1,1,60,10
A,1,1,61,10
A,1,1,62,10
A,1,1,63,10
A,1,1,64,10
A,1,1,65,10
A,1,1,66,3
A,1,1,67,3
A,1,1,68,3
A,1,1,69,3
A,1,1,70,3
A,1,1,71,3
A,1,1,72,3
A,1,1,73,3
A,1,1,74,3
A,1,1,75,3
A,1,1,76,3
A,1,1,77,3
A,1,1,78,3
A,1,1,79,3
A,1,1,80,3
A,1,1,81,3
A,1,1,82,3
A,1,1,83,3
A,1,1,84,3
A,1,1,85,3
A,1,1,86,3
A,1,1,87,3
A,1,1,88,3
A,1,1,89,3
A,1,1,90,3
A,1,1,91,3
A,1,1,92,2
A,1,1,93,2
A,1,1,94,2
A,1,1,95,2
A,1,1,96,2
A,1,1,97,2
A,1,1,98,2
A,1,1,99,2
A,1,1,100,2
A,1,1,101,2
A,1,1,102,2
A,1,1,103,2
A,1,1,104,2
A,1,1,105,2
A,1,1,106,2
A,1,1,107,2
A,1,1,108,2
A,1,1,109,2
A,1,1,110,2
A,1,1,111,2
A,1,1,112,2
A,1,1,113,2
A,1,1,114,2
A,1,1,115,2
A,1,1,116,2
A,1,1,117,2
A,1,1,118,2
A,1,1,119,2
A,1,1,120,2
A,1,1,121,2
A,1,1,122,2
A,1,1,123,2
A,1,1,124,2
A,1,1,125,2
A,1,1,126,2
A,1,1,127,2
A,1,1,128,2
A,1,1,129,2
A,1,1,130,2
A,1,1,131,2
A,1,1,132,2
A,1,1,133,2
A,1,1,134,2
A,1,1,135,2
A,1,1,136,2
A,1,1,137,2
A,1,1,138,2
A,1,1,139,2
A,1,1,140,2
A,1,1,141,2
A,1,1,142,2
A,1,1,143,2
A,1,1,144,2
A,1,1,145,2
A,1,1,146,2
A,1,1,147,2
A,1,1,148,2
A,1,1,149,2
A,1,1,150,2
A,1,1,151,2
A,1,1,152,2
A,1,1,153,2
A,1,1,154,2
A,1,1,155,2
A,1,1,156,2
A,1,1,157,2
A,1,1,158,2
A,1,1,159,2
A,1,1,160,2
A,1,1,161,2
A,1,1,162,2
A,1,1,163,2
A,1,1,164,2
A,1,1,165,2
A,1,1,166,2
A,1,1,167,2
A,1,1,168,2
A,1,1,169,2
A,1,1,170,2
A,1,1,171,2
A,1,1,172,2
A,1,1,173,2
A,1,1,174,2
A,1,1,175,2
A,1,1,176,2
A,1,1,177,2
A,1,1,178,2
A,1,1,179,2
A,1,1,180,2
A,1,1,181,2
A,1,1,182,2
A,1,1,183,2
A,1,1,184,2
A,1,1,185,2
A,1,1,186,2
A,1,1,187,2
A,1,1,188,2
A,1,1,189,2
A,1,1,190,2
A,1,1,191,2
A,1,1,192,2
A,1,1,193,2
A,1,1,194,2
A,1,1,195,2
A,1,1,196,2
A,1,1,197,2
A,1,1,198,2
A,1,1,199,2
A,1,1,200,2
A,1,1,201,2
A,1,1,202,2
A,1,1,203,2
A,1,1,204,2
A,1,1,205,2
A,1,1,206,2
A,1,1,207,2
A,1,1,208,2
A,1,1,209,2
A,1,1,210,2
A,1,1,211,2
A,1,1,212,2
A,1,1,213,2
A,1,1,214,2
A,1,1,215,2
A,1,1,216,2
A,1,1,217,2
A,1,1,218,2
A,1,1,219,2
A,1,1,220,2
A,1,1,221,2
A,1,1,222,2
A,1,1,223,2
A,1,1,224,2
A,1,1,225,2
A,1,1,226,2
A,1,1,227,2
A,1,1,228,2
A,1,1,229,2
A,1,1,230,2
A,1,1,231,2
A,1,1,232,2
A,1,1,233,2
A,1,1,234,2
A,1,1,235,2
A,1,1,236,2
A,1,1,237,2
A,1,1,238,2
A,1,1,239,2
A,1,1,240,2
A,1,1,241,2
A,1,1,242,2
A,1,1,243,2
A,1,1,244,2
A,1,1,245,2
A,1,1,246,2
A,1,1,247,2
A,1,1,248,2
A,1,1,249,2
A,1,1,250,2
A,1,1,251,2
A,1,1,252,2
A,1,1,253,2
A,1,1,254,2
A,1,1,255,2
A,1,1,256,2
A,1,1,257,2
A,1,1,258,2
A,1,1,259,2
A,1,1,260,2
A,1,1,261,2
A,1,1,262,2
A,1,1,263,2
A,1,1,264,2
A,1,1,265,2
A,1,1,266,2
A,1,1,267,2
A,1,1,268,2
A,1,1,269,2
A,1,1,270,2
A,1,1,271,2
A,1,1,272,2
A,1,1,273,2
A,1,1,274,2
A,1,1,275,2
A,1,1,276,2
A,1,1,277,2
A,1,1,278,2
A,1,1,279,2
A,1,1,280,2
A,1,1,281,2
A,1,1,282,2
A,1,1,283,2
A,1,1,284,2
A,1,1,285,2
A,1,1,286,2
A,1,1,287,2
A,1,1,288,2
A,1,1,289,2
A,1,1,290,2
A,1,1,291,2
A,1,1,292,2
A,1,1,293,2
A,1,1,294,2
A,1,1,295,2
A,1,1,296,2
A,1,1,297,2
A,1,1,298,2
A,1,1,299,2
A,1,1,300,2
A,1,1,301,2
A,1,1,302,2
A,1,1,303,2
A,1,1,304,2
A,1,1,305,2
A,1,1,306,2
A,1,1,307,2
A,1,1,308,2
A,1,1,309,2
A,1,1,310,2
A,1,1,311,2
A,1,1,312,2
A,1,1,313,2
A,1,1,314,2
A,1,1,315,2
A,1,1,316,2
A,1,1,317,2
A,1,1,318,2
A,1,1,319,2
A,1,1,320,2
A,1,1,321,2
A,1,1,322,2
A,1,1,323,2
A,1,1,324,2
A,1,1,325,2
A,1,1,326,2
A,1,1,327,2
A,1,1,328,2
A,1,1,329,2
A,1,1,330,2
A,1,1,331,2
A,1,1,332,2
A,1,1,333,2
A,1,1,334,2
A,1,1,335,2
A,1,1,336,2
A,1,1,337,2
A,1,1,338,2
A,1,1,339,2
A,1,1,340,2
A,1,1,341,2
A,1,1,342,2
A,1,1,343,2
A,1,1,344,2
A,1,1,345,2
A,1,1,346,2
A,1,1,347,2
A,1,1,348,2
A,1,1,349,2
A,1,1,350,2
A,1,1,351,2
A,1,1,352,2
A,1,1,353,2
A,1,1,354,2
A,1,1,355,2
A,1,1,356,2
A,1,1,357,2
A,1,1,358,2
A,1,1,359,2
A,1,1,360,2
A,1,1,361,2
A,1,1,362,2
A,1,1,363,2
A,1,1,364,2
A,1,1,365,2
A,1,1,366,2
A,1,1,367,2
A,1,1,368,2
A,1,1,369,2
A,1,1,370,2
A,1,1,371,2
A,1,1,372,2
A,1,1,373,2
A,1,1,374,2
A,1,1,375,2
A,1,1,376,2
A,1,1,377,2
A,1,1,378,2
A,1,1,379,2
A,1,1,380,2
A,1,1,381,2
A,1,1,382,2
A,1,1,383,2
A,1,1,384,2
A,1,1,385,2
A,1,1,386,2
A,1,1,387,2
A,1,1,388,2
A,1,1,389,2
A,1,1,390,2
A,1,1,391,2
A,1,1,392,2
