House,Resident,Day,Hour,Activity,ActivityMinutes
A,1,1,0,1,0
A,1,1,0,2,0
A,1,1,0,3,0
A,1,1,0,4,51
A,1,1,0,5,0
A,1,1,0,6,0
A,1,1,0,7,0
A,1,1,0,8,0
A,1,1,0,9,5
A,1,1,0,10,4
A,1,1,1,1,0
A,1,1,1,2,30
A,1,1,1,3,26
A,1,1,1,4,0
A,1,1,1,5,0
A,1,1,1,6,0
A,1,1,1,7,0
A,1,1,1,8,0
A,1,1,1,9,0
A,1,1,1,10,4
A,1,1,2,1,0
A,1,1,2,2,60
A,1,1,2,3,0
A,1,1,2,4,0
A,1,1,2,5,0
A,1,1,2,6,0
A,1,1,2,7,0
A,1,1,2,8,0
A,1,1,2,9,0
A,1,1,2,10,0
A,1,1,3,1,0
A,1,1,3,2,60
A,1,1,3,3,0
A,1,1,3,4,0
A,1,1,3,5,0
A,1,1,3,6,0
A,1,1,3,7,0
A,1,1,3,8,0
A,1,1,3,9,0
A,1,1,3,10,0
A,1,1,4,1,0
A,1,1,4,2,60
A,1,1,4,3,0
A,1,1,4,4,0
A,1,1,4,5,0
A,1,1,4,6,0
A,1,1,4,7,0
A,1,1,4,8,0
A,1,1,4,9,0
A,1,1,4,10,0
A,1,1,5,1,0
A,1,1,5,2,60
A,1,1,5,3,0
A,1,1,5,4,0
A,1,1,5,5,0
A,1,1,5,6,0
A,1,1,5,7,0
A,1,1,5,8,0
A,1,1,5,9,0
A,1,1,5,10,0
A,1,1,6,1,0
A,1,1,6,2,60
A,1,1,6,3,0
A,1,1,6,4,0
A,1,1,6,5,0
A,1,1,6,6,0
A,1,1,6,7,0
A,1,1,6,8,0
A,1,1,6,9,0
A,1,1,6,10,0
A,1,1,7,1,0
A,1,1,7,2,60
A,1,1,7,3,0
A,1,1,7,4,0
A,1,1,7,5,0
A,1,1,7,6,0
A,1,1,7,7,0
A,1,1,7,8,0
A,1,1,7,9,0
A,1,1,7,10,0
A,1,1,8,1,0
A,1,1,8,2,60
A,1,1,8,3,0
A,1,1,8,4,0
A,1,1,8,5,0
A,1,1,8,6,0
A,1,1,8,7,0
A,1,1,8,8,0
A,1,1,8,9,0
A,1,1,8,10,0
A,1,1,9,1,0
A,1,1,9,2,5
A,1,1,9,3,0
A,1,1,9,4,25
A,1,1,9,5,0
A,1,1,9,6,6
A,1,1,9,7,24
A,1,1,9,8,0
A,1,1,9,9,0
A,1,1,9,10,0
A,1,1,10,1,0
A,1,1,10,2,0
A,1,1,10,3,38
A,1,1,10,4,0
A,1,1,10,5,0
A,1,1,10,6,0
A,1,1,10,7,20
A,1,1,10,8,0
A,1,1,10,9,0
A,1,1,10,10,2
A,1,1,11,1,0
A,1,1,11,2,0
A,1,1,11,3,2
A,1,1,11,4,0
A,1,1,11,5,44
A,1,1,11,6,0
A,1,1,11,7,0
A,1,1,11,8,0
A,1,1,11,9,10
A,1,1,11,10,4
A,1,1,12,1,0
A,1,1,12,2,0
A,1,1,12,3,0
A,1,1,12,4,0
A,1,1,12,5,55
A,1,1,12,6,0
A,1,1,12,7,0
A,1,1,12,8,0
A,1,1,12,9,5
A,1,1,12,10,0
A,1,1,13,1,8
A,1,1,13,2,0
A,1,1,13,3,6
A,1,1,13,4,0
A,1,1,13,5,5
A,1,1,13,6,9
A,1,1,13,7,0
A,1,1,13,8,20
A,1,1,13,9,0
A,1,1,13,10,12
A,1,1,14,1,60
A,1,1,14,2,0
A,1,1,14,3,0
A,1,1,14,4,0
A,1,1,14,5,0
A,1,1,14,6,0
A,1,1,14,7,0
A,1,1,14,8,0
A,1,1,14,9,0
A,1,1,14,10,0
A,1,1,15,1,60
A,1,1,15,2,0
A,1,1,15,3,0
A,1,1,15,4,0
A,1,1,15,5,0
A,1,1,15,6,0
A,1,1,15,7,0
A,1,1,15,8,0
A,1,1,15,9,0
A,1,1,15,10,0
A,1,1,16,1,60
A,1,1,16,2,0
A,1,1,16,3,0
A,1,1,16,4,0
A,1,1,16,5,0
A,1,1,16,6,0
A,1,1,16,7,0
A,1,1,16,8,0
A,1,1,16,9,0
A,1,1,16,10,0
A,1,1,17,1,60
A,1,1,17,2,0
A,1,1,17,3,0
A,1,1,17,4,0
A,1,1,17,5,0
A,1,1,17,6,0
A,1,1,17,7,0
A,1,1,17,8,0
A,1,1,17,9,0
A,1,1,17,10,0
