Day	Activity_Code	Activity	Resident	Minutes	Hours
1	1	Other	Resident_1	25.45	0.42
1	2	Going Out	Resident_1	387.55	6.46
1	3	Preparing Breakfast	Resident_1	16.13333333	0.27
1	4	Having Breakfast	Resident_1	27.78333333	0.46
1	5	Preparing Lunch	Resident_1	0	0
1	6	Having Lunch	Resident_1	0	0
1	7	Preparing Dinner	Resident_1	63.45	1.06
1	8	Having Dinner	Resident_1	28	0.47
1	9	Washing Dishes	Resident_1	0	0
1	10	Having Snack	Resident_1	0	0
1	11	Sleeping	Resident_1	454.45	7.57
1	12	Watching TV	Resident_1	108.0833333	1.8
1	13	Studying	Resident_1	105.7166667	1.76
1	14	Having Shower	Resident_1	0	0
1	15	Toileting	Resident_1	18.88333333	0.31
1	16	Napping	Resident_1	0	0
1	17	Using Internet	Resident_1	130.8	2.18
1	18	Reading Book	Resident_1	0	0
1	19	Laundry	Resident_1	11.13333333	0.19
1	20	Shaving	Resident_1	0	0
1	21	Brushing Teeth	Resident_1	11.48333333	0.19
1	22	Talking on the Phone	Resident_1	41.93333333	0.7
1	23	Listening to Music	Resident_1	0	0
1	24	Cleaning	Resident_1	0	0
1	25	Having Conversation	Resident_1	0	0
1	26	Having Guest	Resident_1	0	0
1	27	Changing Clothes	Resident_1	9.15	0.15
1	1	Other	Resident_2	0	0
1	2	Going Out	Resident_2	673.25	11.22
1	3	Preparing Breakfast	Resident_2	0	0
1	4	Having Breakfast	Resident_2	0	0
1	5	Preparing Lunch	Resident_2	0	0
1	6	Having Lunch	Resident_2	0	0
1	7	Preparing Dinner	Resident_2	0	0
1	8	Having Dinner	Resident_2	28.6	0.48
1	9	Washing Dishes	Resident_2	2.616666667	0.04
1	10	Having Snack	Resident_2	2.6	0.04
1	11	Sleeping	Resident_2	307.0333333	5.12
1	12	Watching TV	Resident_2	189.7166667	3.16
1	13	Studying	Resident_2	0	0
1	14	Having Shower	Resident_2	17.28333333	0.29
1	15	Toileting	Resident_2	11	0.18
1	16	Napping	Resident_2	0	0
1	17	Using Internet	Resident_2	171.9666667	2.87
1	18	Reading Book	Resident_2	0	0
1	19	Laundry	Resident_2	0	0
1	20	Shaving	Resident_2	8.283333333	0.14
1	21	Brushing Teeth	Resident_2	7.5	0.13
1	22	Talking on the Phone	Resident_2	17.88333333	0.3
