Sensor	x	y
1	36.65625	22.9765625
2	43.36328125	23.2421875
3	44.02734375	5.77734375
4	47.8125	15.33984375
5	45.88671875	23.70703125
6	42.8984375	16.46875
7	40.109375	18.79296875
8	18.0625	4.71484375
9	10.29296875	4.84765625
10	15.140625	20.91796875
11	24.0390625	12.6171875
12	29.81640625	10.69140625
13	19.390625	10.625
14	22.3125	23.2421875
15	36.58984375	10.95703125
16	9.03125	10.625
17	23.57421875	15.47265625
18	24.3046875	19.125
19	13.34765625	5.11328125
20	7.4375	21.3828125
