Age,Accessories,Happiness,cluster,Url
34.5,3.351638794,2.856124878,2,https://www.instagram.com/p/Ba_S0AsAq7C/
6.5,81.79508972,57.50758362,4,https://www.instagram.com/p/Ba11YvNlgu7/
29,5.65688324,88.4389801,3,https://www.instagram.com/p/Ba5WxWLFiNF/
35,12.73280334,97.7827301,3,https://www.instagram.com/p/Ba5X9J5Bl51/
29,2.468681335,0.621238708,2,https://www.instagram.com/p/Ba7ypbSD2QB/
34.5,26.96632385,99.61448669,3,https://www.instagram.com/p/BaC_hU_FW4I/
43.5,44.05036926,84.00344849,1,https://www.instagram.com/p/BaDcIuNgyZW/
34.5,95.29270935,94.4397583,1,https://www.instagram.com/p/BagF_loHoxJ/
30.5,5.863044739,5.772613525,2,https://www.instagram.com/p/BaHXJZTHgyv/
34.5,8.661888123,53.4757843,2,https://www.instagram.com/p/Bao5kvwA4em/
6.5,6.144630432,19.09991455,2,https://www.instagram.com/p/BasIC55BgXK/
30.5,20.42721558,97.45001221,3,https://www.instagram.com/p/BaSppiWA4ec/
26,2.035476685,50.10900879,2,https://www.instagram.com/p/BaUM3gnBu5e/
6.5,44.74382019,66.12605286,4,https://www.instagram.com/p/BaUmWqWBKRM/
31.95,3.064414978,96.97304993,3,https://www.instagram.com/p/BaUvP3oHynR/
30.5,21.64914703,78.46769714,3,https://www.instagram.com/p/BaZzDNrgOQ5/
34.5,49.34693909,48.85351563,4,https://www.instagram.com/p/Bb3G05xDCSh/
30.5,45.36978149,34.40275574,4,https://www.instagram.com/p/Bb5-zUWgW7n/
14.5,14.15039063,30.18455505,2,https://www.instagram.com/p/Bbfxbfqg7IB/
29,4.671539307,96.95826721,3,https://www.instagram.com/p/BbfxmlMl2TU/
17,81.8405304,6.740364075,4,https://www.instagram.com/p/BbH8EUgBhhD/
6.5,19.60085297,80.32592773,3,https://www.instagram.com/p/BbKEf1Khnt9/
47.5,43.02290344,47.16213989,4,https://www.instagram.com/p/BbmRMwAFo4W/
43.5,10.16235352,99.87387085,3,https://www.instagram.com/p/BbnPxaXF_WT/
34.5,1.451957703,39.39157104,2,https://www.instagram.com/p/BbnQTumjpVI/
34.5,88.32736206,46.63874817,4,https://www.instagram.com/p/BcprymQgn0y/
23.75,30.58747864,79.63630676,3,https://www.instagram.com/p/BcREcomgmTK/
19.5,68.23779297,91.58917236,1,https://www.instagram.com/p/BctCFYRD59q/
29,2.725662231,61.91415405,3,https://www.instagram.com/p/Bd5rIcbnAmw/
29.75,10.10191345,53.94176483,2,https://www.instagram.com/p/BdsinjtB1UZ/
30.5,1.617958069,99.87518311,3,https://www.instagram.com/p/BdT4NhLF_EA/
34.5,1.62171936,86.9160614,3,https://www.instagram.com/p/BdzQA3rnokO/
30.5,7.767997742,37.35972595,2,https://www.instagram.com/p/BeBfmrRl9-x/
34.5,2.703765869,98.60519409,3,https://www.instagram.com/p/BendChgn2hR/
29,1.33669281,6.422973633,2,https://www.instagram.com/p/BeOLQVHgWFE/
34.5,3.173614502,89.19935608,3,https://www.instagram.com/p/Bezbr0Rhwgt/
30.5,1.291465759,58.11178589,2,https://www.instagram.com/p/BezbyGkBrg3/
25.5,4.075920105,39.13369751,2,https://www.instagram.com/p/BfdH8spgiph/
39,89.92066956,85.00960541,1,https://www.instagram.com/p/BfHZtCIHtK9/
35,9.284141541,82.69730377,3,https://www.instagram.com/p/BfL06t0lTj0/
46.25,3.831672668,99.42455292,3,https://www.instagram.com/p/BfL9VCsl4G_/
34.5,1.043258667,38.09532166,2,https://www.instagram.com/p/BfLtrFoBOFn/
35.5,4.401412964,97.76174927,3,https://www.instagram.com/p/BfMFpztgW7Y/
30.5,41.44119263,44.93040466,4,https://www.instagram.com/p/BfN_oFThyOT/
60.5,2.66217041,98.55620575,3,https://www.instagram.com/p/BfNJopPHBWW/
34.5,1.271697998,84.82946014,3,https://www.instagram.com/p/BfO1QJGHmzn/
